Date,Open,High,Low,Close,Adj Close,Volume
2021-02-01,4.090000,4.140000,4.050000,4.110000,4.110000,6096300
2021-02-02,4.080000,4.180000,4.080000,4.180000,4.180000,5269700
2021-02-03,4.200000,4.230000,4.170000,4.170000,4.170000,3782000
2021-02-04,4.180000,4.200000,4.120000,4.170000,4.170000,3662100
2021-02-05,4.190000,4.200000,4.120000,4.170000,4.170000,5132100
2021-02-08,4.190000,4.360000,4.180000,4.330000,4.330000,15352700
2021-02-09,4.390000,4.430000,4.370000,4.390000,4.390000,9260900
2021-02-10,4.400000,4.410000,4.350000,4.370000,4.370000,4425800
2021-02-11,4.350000,4.370000,4.310000,4.370000,4.370000,2419100
2021-02-15,4.380000,4.400000,4.330000,4.340000,4.340000,3283300
2021-02-16,4.380000,4.400000,4.350000,4.400000,4.400000,5299700
2021-02-17,4.360000,4.400000,4.350000,4.390000,4.390000,3935600
2021-02-18,4.400000,4.420000,4.380000,4.400000,4.400000,5952900
2021-02-19,4.390000,4.390000,4.310000,4.350000,4.350000,4965500
2021-02-22,4.390000,4.410000,4.370000,4.390000,4.390000,5387978
2021-02-23,4.410000,4.650000,4.400000,4.650000,4.650000,32005000
2021-02-24,4.680000,4.790000,4.650000,4.690000,4.690000,24754600
2021-02-25,4.780000,5.040000,4.760000,5.030000,5.030000,34437700
2021-02-26,4.900000,5.020000,4.860000,4.980000,4.980000,19526100
2021-03-01,4.960000,5.300000,4.960000,5.240000,5.240000,20272800
2021-03-02,5.330000,5.410000,5.100000,5.180000,5.180000,21103500
2021-03-03,5.170000,5.250000,5.110000,5.210000,5.210000,9669800
2021-03-04,5.170000,5.200000,5.120000,5.150000,5.150000,9461700
2021-03-05,5.110000,5.220000,5.080000,5.150000,5.150000,11083300
2021-03-08,5.210000,5.230000,5.140000,5.150000,5.150000,7941600
2021-03-09,5.200000,5.320000,5.160000,5.310000,5.310000,16881800
2021-03-10,5.310000,5.320000,5.200000,5.220000,5.220000,10228300
2021-03-11,5.290000,5.350000,5.250000,5.320000,5.320000,11804500
2021-03-12,5.340000,5.370000,5.290000,5.300000,5.300000,9322400
2021-03-15,5.360000,5.750000,5.360000,5.630000,5.630000,22279300
2021-03-16,5.700000,5.730000,5.660000,5.660000,5.660000,14886600
2021-03-17,5.680000,5.700000,5.600000,5.670000,5.670000,10439000
2021-03-18,5.710000,5.740000,5.700000,5.710000,5.710000,8567600
2021-03-19,5.680000,5.720000,5.640000,5.700000,5.700000,11091900
2021-03-22,5.690000,5.730000,5.650000,5.680000,5.680000,7528600
2021-03-23,5.680000,5.700000,5.630000,5.640000,5.640000,8347200
2021-03-24,5.500000,5.620000,5.500000,5.530000,5.530000,13031500
2021-03-25,5.510000,5.620000,5.500000,5.590000,5.590000,7140300
2021-03-26,5.620000,5.630000,5.530000,5.540000,5.540000,8885000
2021-03-29,5.580000,5.590000,5.550000,5.550000,5.550000,6746400
2021-03-30,5.630000,5.650000,5.580000,5.610000,5.610000,5329600
2021-03-31,5.680000,5.680000,5.550000,5.550000,5.550000,12916700
2021-04-01,5.590000,5.620000,5.550000,5.590000,5.590000,5497400
2021-04-05,5.600000,5.620000,5.580000,5.590000,5.590000,3982200
2021-04-06,5.640000,5.650000,5.590000,5.640000,5.640000,6658500
2021-04-07,5.680000,5.700000,5.650000,5.700000,5.700000,9437500
2021-04-08,5.700000,5.780000,5.680000,5.690000,5.690000,11709000
2021-04-09,5.700000,5.740000,5.680000,5.720000,5.720000,4751700
2021-04-12,5.710000,5.720000,5.580000,5.600000,5.600000,13930600
2021-04-13,5.600000,5.610000,5.520000,5.530000,5.530000,14257600
2021-04-14,5.530000,5.580000,5.500000,5.500000,5.500000,9405800
2021-04-15,5.510000,5.520000,5.310000,5.340000,5.340000,20912600
2021-04-16,5.330000,5.420000,5.330000,5.400000,5.400000,8493400
2021-04-19,5.400000,5.410000,5.210000,5.230000,5.230000,15004300
2021-04-20,5.180000,5.180000,5.060000,5.080000,5.080000,15702500
2021-04-21,5.000000,5.100000,4.960000,4.990000,4.990000,15712000
2021-04-22,5.000000,5.080000,4.980000,5.050000,5.050000,11289900
2021-04-23,5.000000,5.040000,5.000000,5.030000,5.030000,6919600
2021-04-26,5.010000,5.170000,4.990000,5.130000,5.130000,12926800
2021-04-27,5.180000,5.360000,5.170000,5.300000,5.300000,14400700
2021-04-28,5.300000,5.310000,5.150000,5.150000,5.150000,8651100
2021-04-29,5.150000,5.230000,5.130000,5.130000,5.130000,7556300
2021-04-30,5.030000,5.100000,5.010000,5.060000,5.060000,8358500
2021-05-03,5.000000,5.020000,4.900000,4.950000,4.950000,14055400
2021-05-04,4.950000,5.020000,4.950000,4.970000,4.970000,5357400
2021-05-05,4.940000,4.940000,4.810000,4.820000,4.820000,14366700
2021-05-06,4.820000,4.890000,4.820000,4.840000,4.840000,11987200
2021-05-07,4.850000,4.970000,4.840000,4.950000,4.950000,9549300
2021-05-10,4.950000,4.960000,4.840000,4.870000,4.870000,6288500
2021-05-11,4.820000,4.860000,4.800000,4.800000,4.800000,6743000
2021-05-12,4.800000,4.800000,4.750000,4.770000,4.770000,5849700
2021-05-14,4.680000,4.690000,4.420000,4.500000,4.500000,28180800
2021-05-17,4.470000,4.650000,4.410000,4.640000,4.640000,13656500
2021-05-18,4.690000,4.880000,4.630000,4.860000,4.860000,10609500
2021-05-19,4.820000,4.820000,4.700000,4.700000,4.700000,6755300
2021-05-20,4.630000,4.840000,4.610000,4.760000,4.760000,12430000
2021-05-21,4.760000,4.800000,4.660000,4.770000,4.770000,7232900
2021-05-24,4.780000,4.780000,4.700000,4.740000,4.740000,4582900
2021-05-25,4.750000,4.880000,4.740000,4.860000,4.860000,10412400
2021-05-27,4.850000,5.020000,4.800000,4.960000,4.960000,18497150
2021-05-28,4.980000,5.020000,4.950000,4.960000,4.960000,6775900
2021-05-31,5.000000,5.060000,4.910000,4.980000,4.980000,8050200
2021-06-01,4.990000,4.990000,4.930000,4.990000,4.990000,4872700
2021-06-02,4.980000,4.980000,4.900000,4.950000,4.950000,7684700
2021-06-03,4.940000,4.970000,4.900000,4.930000,4.930000,5169900
2021-06-04,4.900000,4.960000,4.850000,4.900000,4.900000,7297500
2021-06-07,4.930000,4.950000,4.860000,4.880000,4.880000,4323400
2021-06-08,4.900000,4.940000,4.870000,4.900000,4.900000,4236200
2021-06-09,4.900000,5.050000,4.880000,5.020000,5.020000,11079300
2021-06-10,5.030000,5.150000,5.030000,5.120000,5.120000,10893100
2021-06-11,5.150000,5.240000,5.130000,5.150000,5.150000,12181000
2021-06-14,5.170000,5.200000,5.120000,5.130000,5.130000,2975200
2021-06-15,5.120000,5.160000,5.070000,5.080000,5.080000,6877600
2021-06-16,5.050000,5.060000,4.920000,4.920000,4.920000,9588600
2021-06-17,4.840000,4.990000,4.780000,4.990000,4.990000,8846300
2021-06-18,5.000000,5.080000,4.960000,5.050000,5.050000,6235900
2021-06-21,4.990000,5.020000,4.920000,4.980000,4.980000,5248400
2021-06-22,4.990000,5.030000,4.980000,4.980000,4.980000,3500400
2021-06-23,5.000000,5.040000,4.950000,5.020000,5.020000,3381800
2021-06-24,4.990000,5.010000,4.950000,4.960000,4.960000,3324500
2021-06-25,5.000000,5.040000,4.960000,4.990000,4.990000,3357500
2021-06-28,5.000000,5.000000,4.830000,4.860000,4.860000,12447700
2021-06-29,4.850000,4.860000,4.790000,4.800000,4.800000,9177300
2021-06-30,4.810000,4.910000,4.810000,4.850000,4.850000,7234600
2021-07-01,4.890000,4.910000,4.860000,4.890000,4.890000,2793100
2021-07-02,5.030000,5.090000,4.970000,4.980000,4.980000,8775500
2021-07-05,5.000000,5.020000,4.980000,5.000000,5.000000,3479000
2021-07-06,5.010000,5.180000,5.010000,5.180000,5.180000,11626200
2021-07-07,5.150000,5.150000,5.030000,5.040000,5.040000,7985600
2021-07-08,5.050000,5.060000,4.960000,4.980000,4.980000,5823100
2021-07-09,4.950000,5.040000,4.930000,5.020000,5.020000,5903600
2021-07-12,5.030000,5.070000,5.010000,5.020000,5.020000,5915900
2021-07-13,5.070000,5.070000,4.990000,4.990000,4.990000,5061400
2021-07-14,5.000000,5.030000,4.950000,4.950000,4.950000,5117300
2021-07-15,4.950000,4.960000,4.850000,4.890000,4.890000,7523700
2021-07-16,4.890000,4.940000,4.870000,4.890000,4.890000,3345600
2021-07-19,4.840000,4.880000,4.800000,4.850000,4.850000,5832100
2021-07-21,4.800000,4.850000,4.780000,4.800000,4.800000,8817000
2021-07-22,4.820000,4.950000,4.810000,4.950000,4.950000,6217300
2021-07-23,4.950000,4.980000,4.890000,4.910000,4.910000,3499800
2021-07-26,4.920000,5.020000,4.880000,5.000000,5.000000,6203800
2021-07-27,5.060000,5.200000,5.060000,5.110000,5.110000,14064400
2021-07-28,5.130000,5.150000,5.050000,5.120000,5.120000,4926900
2021-07-29,5.150000,5.180000,5.100000,5.180000,5.180000,8072300
2021-07-30,5.140000,5.180000,5.090000,5.100000,5.100000,9136000
2021-08-02,5.100000,5.120000,4.970000,4.990000,4.990000,7798100
2021-08-03,4.980000,5.020000,4.940000,5.000000,5.000000,5897000
2021-08-04,5.000000,5.090000,4.960000,5.070000,5.070000,9241600
2021-08-05,5.060000,5.070000,5.000000,5.010000,5.010000,4960800
2021-08-06,5.030000,5.090000,5.030000,5.080000,5.080000,6542900
2021-08-10,5.090000,5.150000,5.080000,5.120000,5.120000,10361900
2021-08-11,5.120000,5.130000,5.060000,5.100000,5.100000,5654800
2021-08-12,5.110000,5.130000,5.080000,5.080000,5.080000,4922400
2021-08-13,5.080000,5.120000,5.070000,5.120000,5.120000,3512300
2021-08-16,5.100000,5.130000,5.030000,5.080000,5.080000,6228400
2021-08-17,5.100000,5.110000,5.030000,5.030000,5.030000,5743700
2021-08-18,5.030000,5.090000,5.020000,5.020000,5.020000,5539600
2021-08-19,5.010000,5.030000,4.960000,4.960000,4.960000,7339600
2021-08-20,5.080000,5.100000,4.990000,5.030000,5.030000,8678800
2021-08-23,5.060000,5.080000,5.010000,5.010000,5.010000,2996000
2021-08-24,5.070000,5.100000,5.050000,5.090000,5.090000,5094000
2021-08-25,5.120000,5.170000,5.100000,5.150000,5.150000,7613400
2021-08-26,5.120000,5.160000,5.110000,5.140000,5.140000,4002700
2021-08-27,5.100000,5.150000,5.050000,5.060000,5.060000,5945600
2021-08-30,5.110000,5.150000,5.110000,5.140000,5.140000,4731800
2021-08-31,5.140000,5.140000,5.030000,5.060000,5.060000,9599700
2021-09-01,5.080000,5.100000,5.050000,5.060000,5.060000,3984500
2021-09-02,5.060000,5.090000,5.030000,5.040000,5.040000,4316800
2021-09-03,5.050000,5.060000,5.020000,5.040000,5.040000,2546900
2021-09-06,5.040000,5.080000,4.990000,5.080000,5.080000,5699800
2021-09-07,5.060000,5.060000,5.020000,5.040000,5.040000,2936400
2021-09-08,5.010000,5.020000,4.950000,4.950000,4.950000,12178500
2021-09-09,4.950000,4.980000,4.910000,4.910000,4.910000,7672000
2021-09-10,4.960000,5.030000,4.930000,4.990000,4.990000,8531025
2021-09-13,4.980000,4.980000,4.910000,4.920000,4.920000,6236000
2021-09-14,4.940000,4.950000,4.920000,4.920000,4.920000,3712900
2021-09-15,4.900000,4.910000,4.860000,4.860000,4.860000,7782500
2021-09-16,4.870000,4.940000,4.840000,4.920000,4.920000,7723300
2021-09-17,4.860000,4.860000,4.820000,4.830000,4.830000,12495900
2021-09-20,4.840000,4.860000,4.800000,4.800000,4.800000,4808800
2021-09-21,4.800000,4.980000,4.800000,4.970000,4.970000,8991300
2021-09-22,4.920000,4.980000,4.900000,4.950000,4.950000,3379400
2021-09-23,4.960000,5.050000,4.950000,5.040000,5.040000,7312200
2021-09-24,5.020000,5.060000,4.970000,5.000000,5.000000,4163100
2021-09-27,5.000000,5.080000,4.980000,5.060000,5.060000,6398000
