Date,Open,High,Low,Close,Adj Close,Volume
2021-03-30,2.480000,2.490000,2.450000,2.460000,2.433991,30146100
2021-03-31,2.470000,2.470000,2.430000,2.440000,2.414203,35680234
2021-04-01,2.450000,2.450000,2.420000,2.440000,2.414203,15657800
2021-04-05,2.460000,2.480000,2.460000,2.480000,2.453780,15515900
2021-04-06,2.480000,2.490000,2.460000,2.480000,2.453780,24821600
2021-04-07,2.490000,2.490000,2.450000,2.460000,2.433991,25861600
2021-04-08,2.450000,2.470000,2.430000,2.440000,2.414203,30850300
2021-04-09,2.440000,2.450000,2.430000,2.430000,2.404309,20634200
2021-04-12,2.430000,2.440000,2.400000,2.430000,2.404309,32524200
2021-04-13,2.420000,2.430000,2.400000,2.410000,2.384520,20000100
2021-04-14,2.420000,2.440000,2.410000,2.420000,2.394414,19580400
2021-04-15,2.420000,2.450000,2.410000,2.430000,2.404309,26908500
2021-04-16,2.430000,2.550000,2.430000,2.550000,2.523040,91357900
2021-04-19,2.570000,2.630000,2.560000,2.600000,2.572511,94072700
2021-04-20,2.600000,2.610000,2.530000,2.530000,2.503251,43429400
2021-04-21,2.530000,2.570000,2.510000,2.540000,2.513145,48519500
2021-04-22,2.550000,2.560000,2.520000,2.530000,2.503251,23901000
2021-04-23,2.520000,2.540000,2.500000,2.540000,2.513145,20649500
2021-04-26,2.540000,2.550000,2.520000,2.550000,2.523040,24582300
2021-04-27,2.540000,2.550000,2.510000,2.520000,2.493357,27657700
2021-04-28,2.510000,2.530000,2.500000,2.530000,2.503251,27611100
2021-04-29,2.520000,2.550000,2.520000,2.520000,2.493357,21407300
2021-04-30,2.520000,2.530000,2.500000,2.500000,2.473568,37541100
2021-05-03,2.500000,2.510000,2.450000,2.460000,2.433991,39094500
2021-05-04,2.470000,2.470000,2.440000,2.450000,2.424097,19843600
2021-05-05,2.440000,2.440000,2.400000,2.410000,2.384520,38771800
2021-05-06,2.430000,2.460000,2.420000,2.450000,2.424097,29864300
2021-05-07,2.450000,2.460000,2.430000,2.450000,2.424097,10889100
2021-05-10,2.450000,2.460000,2.430000,2.440000,2.414203,17872400
2021-05-11,2.410000,2.420000,2.400000,2.420000,2.394414,33836600
2021-05-12,2.400000,2.420000,2.390000,2.410000,2.384520,36555200
2021-05-14,2.360000,2.380000,2.310000,2.320000,2.295471,71641600
2021-05-17,2.320000,2.380000,2.300000,2.370000,2.344943,34206000
2021-05-18,2.370000,2.450000,2.370000,2.410000,2.384520,40711400
2021-05-19,2.410000,2.430000,2.400000,2.410000,2.384520,25015600
2021-05-20,2.410000,2.450000,2.410000,2.420000,2.394414,26778000
2021-05-21,2.450000,2.450000,2.410000,2.430000,2.404309,20905600
2021-05-24,2.450000,2.470000,2.430000,2.440000,2.414203,15669000
2021-05-25,2.450000,2.470000,2.440000,2.460000,2.433991,26346100
2021-05-27,2.410000,2.470000,2.380000,2.450000,2.424097,92400900
2021-05-28,2.480000,2.480000,2.400000,2.420000,2.394414,44418673
2021-05-31,2.420000,2.430000,2.400000,2.410000,2.384520,25084200
2021-06-01,2.420000,2.440000,2.410000,2.430000,2.404309,34651600
2021-06-02,2.430000,2.430000,2.400000,2.400000,2.374626,31958900
2021-06-03,2.400000,2.410000,2.390000,2.400000,2.374626,24079200
2021-06-04,2.390000,2.400000,2.380000,2.380000,2.354837,22467000
2021-06-07,2.390000,2.390000,2.360000,2.370000,2.344943,42040400
2021-06-08,2.370000,2.380000,2.350000,2.370000,2.344943,40378100
2021-06-09,2.350000,2.370000,2.330000,2.340000,2.315260,56075700
2021-06-10,2.340000,2.360000,2.330000,2.330000,2.305366,24620600
